Date,Heart rate(count/min)
2024-07-17 20:26:28,68.000
2024-07-17 20:29:48,69.000
2024-07-17 20:33:28,68.000
2024-07-17 20:40:32,85.000
2024-07-17 20:51:54,80.000
2024-07-17 20:56:26,80.000
2024-07-17 20:58:26,84.000
2024-07-17 21:06:18,75.000
2024-07-17 21:14:02,82.000
2024-07-17 21:19:12,68.000
2024-07-18 07:54:46,78.000
2024-07-18 08:00:06,81.000
2024-07-18 08:01:59,71.000
2024-07-18 08:04:42,87.000
2024-07-18 08:08:13,76.000
2024-07-18 08:11:03,71.000
2024-07-18 08:16:32,74.000
2024-07-18 08:21:32,68.000
2024-07-18 08:25:33,89.000
2024-07-18 08:27:56,76.000
2024-07-18 08:31:44,70.000
2024-07-18 08:36:52,77.000
2024-07-18 08:39:18,103.000
2024-07-18 08:40:55,70.000
2024-07-18 08:43:15,96.000
2024-07-18 08:48:13,89.000
2024-07-18 08:51:57,79.000
2024-07-18 08:59:54,89.000
2024-07-18 09:00:48,74.000
2024-07-18 09:04:54,98.000
2024-07-18 09:06:30,72.000
2024-07-18 09:10:51,88.000
2024-07-18 09:16:34,73.000
2024-07-18 09:18:55,75.000
2024-07-18 09:24:44,75.000
2024-07-18 09:35:55,69.000
2024-07-18 09:40:14,73.000
2024-07-18 09:46:26,72.000
2024-07-18 09:51:15,75.000
2024-07-18 10:01:14,71.000
2024-07-18 10:04:05,69.000
2024-07-18 10:04:24,74.526
2024-07-18 10:08:27,72.000
2024-07-18 10:17:14,72.000
2024-07-18 10:20:23,74.000
2024-07-18 10:25:47,72.000
2024-07-18 10:31:51,70.000
2024-07-18 10:34:43,70.000
2024-07-18 10:39:29,67.000
2024-07-18 10:46:29,74.000
2024-07-18 11:02:52,67.000
2024-07-18 11:25:27,80.000
2024-07-18 11:33:26,106.000
2024-07-18 11:35:47,119.000
2024-07-18 11:38:09,94.000
2024-07-18 11:40:17,75.000
2024-07-18 11:46:38,70.000
2024-07-18 11:53:17,75.000
2024-07-18 11:55:24,70.000
2024-07-18 11:58:44,98.000
2024-07-18 12:02:34,93.000
2024-07-18 12:07:44,80.000
2024-07-18 12:10:01,89.000
2024-07-18 12:11:12,88.000
2024-07-18 12:13:58,89.000
2024-07-18 12:16:23,90.000
2024-07-18 12:18:25,85.000
2024-07-18 12:19:49,86.000
2024-07-18 12:24:01,89.000
2024-07-18 12:25:54,82.000
2024-07-18 12:31:05,87.000
2024-07-18 12:35:15,79.000
2024-07-18 12:39:55,77.000
2024-07-18 12:41:44,80.438
2024-07-18 12:47:29,73.000
2024-07-18 12:49:58,96.000
2024-07-18 12:50:30,93.000
2024-07-18 12:58:14,72.000
2024-07-18 13:02:04,74.000
2024-07-18 13:05:26,77.000
2024-07-18 13:10:47,72.000
2024-07-18 13:14:20,75.000
2024-07-18 13:23:03,73.000
2024-07-18 13:24:16,79.000
2024-07-18 13:31:45,84.000
2024-07-18 13:33:43,78.000
2024-07-18 13:41:33,78.000
2024-07-18 13:43:36,77.000
2024-07-18 13:49:22,79.000
2024-07-18 13:56:15,80.000
2024-07-18 14:11:22,77.000
2024-07-18 14:15:02,77.000
2024-07-18 14:18:39,77.000
2024-07-18 14:23:32,74.000
2024-07-18 14:33:16,74.000
2024-07-18 14:38:12,76.000
2024-07-18 14:40:42,82.000
2024-07-18 14:43:49,84.000
2024-07-18 14:50:40,86.000
2024-07-18 14:56:48,81.000
2024-07-18 15:02:22,86.000
2024-07-18 15:07:42,88.000
2024-07-18 15:11:38,85.000
2024-07-18 15:15:26,79.000
2024-07-18 15:27:27,81.000
2024-07-18 15:32:55,81.000
2024-07-18 15:34:56,76.000
2024-07-18 15:35:30,76.036
2024-07-18 15:39:54,74.000
2024-07-18 15:44:07,76.000
2024-07-18 15:52:36,78.000
2024-07-18 15:54:16,77.000
2024-07-18 16:07:41,85.000
2024-07-18 16:12:44,80.000
2024-07-18 16:15:00,84.000
2024-07-18 16:18:58,81.000
2024-07-18 16:24:08,97.000
2024-07-18 16:31:51,82.000
